label,X1,X2,X3,X4
0,3,7,1,1
0,2,5,1,1
0,2,5,1,1
0,1,5,1,1
0,2,7,1,1
0,4,8,2,2
0,1,6,1,1
0,2,6,1,1
0,1,4,1,1
0,2,5,1,1
0,4,8,1,1
0,2,6,2,1
0,2,5,1,1
0,1,5,1,1
0,5,9,1,1
0,4,10,1,2
0,4,8,1,2
0,3,7,1,1
0,4,8,2,1
0,3,8,1,1
0,4,6,2,1
0,3,8,1,2
0,1,7,1,1
0,3,6,2,2
0,2,6,2,1
0,2,5,2,1
0,2,6,2,2
0,3,7,1,1
0,3,6,1,1
0,2,5,2,1
0,2,5,2,1
0,4,6,1,2
0,3,9,1,1
0,4,10,1,1
0,2,5,1,1
0,2,5,1,1
0,4,7,1,1
0,2,5,1,1
0,1,5,1,1
0,3,6,1,1
0,2,7,1,1
0,1,2,1,1
0,1,5,1,1
0,2,7,2,2
0,3,8,2,2
0,2,5,1,1
0,3,8,2,1
0,1,5,1,1
0,3,8,1,1
0,2,6,1,1
1,8,5,7,5
1,6,5,6,6
1,8,5,7,6
1,4,2,6,5
1,7,4,7,6
1,4,4,6,5
1,6,6,7,6
1,2,2,4,4
1,7,4,7,5
1,3,3,5,5
1,2,1,5,4
1,5,5,6,6
1,5,1,6,4
1,5,4,7,5
1,4,4,5,5
1,7,5,6,5
1,4,5,6,6
1,5,3,6,4
1,6,1,6,6
1,4,3,5,4
1,5,5,7,7
1,5,4,6,5
1,6,3,7,6
1,5,4,7,5
1,6,4,6,5
1,7,5,6,5
1,7,4,7,5
1,7,5,7,6
1,5,4,6,6
1,4,3,5,4
1,4,2,5,4
1,4,2,5,4
1,5,3,5,5
1,5,3,7,6
1,4,5,6,6
1,5,6,6,6
1,7,5,7,6
1,6,2,6,5
1,4,5,6,5
1,4,3,6,5
1,4,3,6,5
1,5,5,7,5
1,5,3,6,5
1,2,2,4,4
1,4,3,6,5
1,4,5,6,5
1,4,4,6,5
1,6,4,6,5
1,3,3,4,4
1,4,4,6,5
2,6,6,9,9
2,5,3,7,7
2,8,5,9,8
2,6,4,8,7
2,7,5,9,8
2,10,5,10,8
2,2,3,6,6
2,9,4,9,7
2,7,3,9,7
2,9,7,9,9
2,7,5,7,8
2,6,3,8,7
2,7,5,8,8
2,4,3,7,8
2,5,4,7,9
2,6,5,8,9
2,7,5,8,7
2,10,8,10,8
2,10,3,10,9
2,5,1,7,6
2,8,5,8,9
2,4,4,7,8
2,10,4,10,8
2,6,3,7,7
2,7,6,8,8
2,9,5,9,7
2,6,4,7,7
2,5,5,7,7
2,6,4,8,8
2,9,5,9,6
2,9,4,9,7
2,10,8,10,8
2,6,4,8,8
2,6,4,7,6
2,5,3,8,5
2,10,5,9,9
2,6,6,8,9
2,6,5,8,7
2,5,5,7,7
2,8,5,8,8
2,7,5,8,9
2,8,5,7,9
2,5,3,7,7
2,7,5,9,9
2,7,6,8,9
2,7,5,8,9
2,6,3,7,7
2,7,5,8,8
2,6,6,8,9
2,5,5,7,7
